alpha,low-beta,high-beta
50740,10190,7249
71777,50134,26470
64849,14187,6336
63228,21521,9813
61546,11941,47344
69889,47422,20200
59241,12983,218758
32922,1109,39817
146828,9663,153694
255175,14922,70702
146676,17422,152593
158335,15275,65674
18273,1381,29801
72316,2675,26326
33442,29937,13957
66634,5622,10203
62324,4941,124364
65505,8386,70399
285294,22510,88770
4135,1580,28318
31536,4012,105545
15912,7664,121301
68040,6930,57876
190152,7879,64813
44244,9493,102979
11750,2628,22414
155287,20208,48049
157637,24694,53171
52062,35011,76394
101559,13441,58242
114449,9653,43289
28716,5730,91350
81245,8251,32523
15595,7097,18433
71459,29667,28245
67978,16391,99282
20341,417,11522
6291,1623,3733
68329,7842,46814
796701,72030,195074
93979,4935,57158
40010,1370,10125
177016,14811,203103
62467,13156,84863
88094,8015,40541
41218,6478,46403
75791,11694,44394
117635,8799,57524
91247,5988,155236
23989,53458,140980
66667,13428,22451
28806,3229,13443
76366,17298,46305
104161,6078,37693
37996,7366,46366
62586,19445,56963
32643,22947,40258
140534,25056,132180
212126,10719,34669
128572,11229,31389
3594,5291,3750
13743,9993,11524
5978,2111,2580
19457,12829,10920
10021,15659,1424
78282,47317,54617
10195,1908,2634
7429,9290,10092
16217,3770,1292
62780,16662,11998
45200,9141,10213
11375,7608,1575
129111,47750,29297
7934,3953,3084
7863,3584,5426
247451,40598,20577
52558,11878,10353
232847,38708,46858
5334,428,1101
46411,26514,10030
3850,3718,1092
43740,14431,3362
33988,31145,9491
13017,10862,6869
53658,6487,15782
15947,7801,3830
50285,28379,13318
4536,9422,9411
20757,4219,3591
7247,2082,1522
14020,8186,9794
15804,8755,1158
293458,139852,23256
12445,8722,3321
5512,4392,2811
2346,668,3584
28033,15423,4630
21551,23158,15641
61064,25838,16170
6128,2345,1411
29126,12835,3768
4378,3552,1109
54635,47420,9612
7487,4595,2246
100888,42300,19425
14735,1374,666
24546,9476,4377
24601,5697,6434
35200,7346,5863
2264,1888,1879
23963,13117,5001
42087,52088,11629
15069,6613,2786
10561,8065,1071
41670,15503,7206
20801,8363,4524
56303,31609,14925
158395,20140,5024
8814,9676,1400
3784,3580,1513
73588,12546,6795
106486,22210,7568
12745,2220,3952
26502,25628,12572
11413,2276,2543
3741,10217,6225
10394,3415,3172
43535,10556,32748
15069,4856,6448
92534,89285,66128
62730,28733,12546
64712,11021,9160
15123,18029,11945
55420,21855,12295
14919,3406,4682
82562,18113,8017
46043,21169,16252
3875,1580,902
1853,2551,3111
294701,87665,56813
60521,46973,28400
1773,2240,1512
99639,24795,22341
54198,69430,28628
37280,29996,12584
2448,5004,2008
5865,11440,2230
19337,6951,4003
42377,38190,5914
20458,15008,26812
14366,53758,20154
7762,3298,2250
8071,3273,2485
8090,9551,5219
2618,12088,11541
3306,2264,907
10505,11261,7240
57049,35572,12441
14926,23838,9580
23904,19400,11399
10847,10512,17763
14099,17463,23390
5212,2809,2454
16788,4583,11576
33228,3742,2579
14024,8567,4349
8107,46639,3434
12391,7353,4261
21735,9679,4624
8256,5202,2108
13298,4868,5151
15226,7375,8043
21038,31658,10545
18217,20030,3117
39911,15122,8020
21263,9094,3584
2617,10880,6901
39367,26680,18786
33983,7588,7761
6589,2141,2700
